epoch,accuracy,loss,val_accuracy,val_loss
0,0.37780237197875977,1.323292851448059,0.46685880422592163,1.2677767276763916
1,0.640741765499115,0.9808881878852844,0.6484149694442749,0.9109620451927185
2,0.7868807315826416,0.595611035823822,0.729106605052948,0.7693426012992859
3,0.8408524990081787,0.43011584877967834,0.7118155360221863,0.7554632425308228
4,0.8724052309989929,0.3458012342453003,0.7031700015068054,0.7801406383514404
5,0.9020204544067383,0.278482586145401,0.6772334575653076,0.8390566110610962
6,0.9211181998252869,0.23049414157867432,0.6945244669914246,0.8825972676277161
7,0.9371713399887085,0.19858777523040771,0.6829971075057983,0.9631407260894775
8,0.9435372352600098,0.17447464168071747,0.6743515729904175,1.0086182355880737
9,0.9551619291305542,0.15034155547618866,0.6772334575653076,1.100852370262146
10,0.9582064747810364,0.13258911669254303,0.6829971075057983,1.1342976093292236
11,0.9676169157028198,0.11959663778543472,0.6599423885345459,1.1799077987670898
12,0.9673401713371277,0.11051802337169647,0.6599423885345459,1.2450014352798462
13,0.9701079726219177,0.10085414350032806,0.6685879230499268,1.2329449653625488
14,0.973706066608429,0.08768387883901596,0.6628242135047913,1.3209344148635864
15,0.972875714302063,0.08578287810087204,0.6628242135047913,1.3709135055541992
16,0.9745364189147949,0.08427563309669495,0.6628242135047913,1.3678792715072632
17,0.9739828109741211,0.07876820117235184,0.6714697480201721,1.38706374168396
18,0.9759202599525452,0.07258003205060959,0.6829971075057983,1.4076308012008667
19,0.9748131632804871,0.0755080133676529,0.6570605039596558,1.4915796518325806
20,0.975643515586853,0.0719732716679573,0.6628242135047913,1.4908546209335327
21,0.9778577089309692,0.07179718464612961,0.6570605039596558,1.5564156770706177
22,0.9753667116165161,0.06563001871109009,0.6570605039596558,1.553702712059021
23,0.9761970639228821,0.06286334991455078,0.6772334575653076,1.5793834924697876
24,0.9795184135437012,0.06019706279039383,0.6599423885345459,1.6152832508087158
